user_id,group,cancelled_7d,revenue
0,control,0,182.48
1,control,1,170.59
2,control,0,41.11
3,control,0,130.98
4,control,0,219.83
5,control,0,85.77
6,control,0,116.88
7,control,0,315.66
8,control,0,169.55
9,control,0,134.52
10,control,0,121.38
11,control,1,172.38
12,control,0,191.09
13,control,0,20.65
14,control,0,15.96
15,control,0,90.12
16,control,0,140.77
17,control,0,154.53
18,control,0,47.79
19,control,0,137.71
20,control,0,145.69
21,control,0,99.01
22,control,0,117.93
23,control,0,106.41
24,control,0,177.86
25,control,0,150.41
26,control,0,81.46
27,control,0,207.3
28,control,0,67.96
29,control,0,47.23
30,control,0,135.29
31,control,0,134.99
32,control,0,154.37
33,control,1,79.12
34,control,1,203.58
35,control,0,252.88
36,control,0,148.7
37,control,0,168.96
38,control,0,23.09
39,control,0,123.91
40,control,0,108.24
41,control,0,98.51
42,control,0,110.55
43,control,1,116.54
44,control,0,62.7
45,control,0,120.76
46,control,0,87.5
47,control,0,197.3
48,control,0,169.82
49,control,0,169.9
50,control,1,208.61
51,control,0,100.42
52,control,1,166.19
53,control,0,214.21
54,control,0,96.23
55,control,1,28.25
56,control,0,108.56
57,control,0,207.39
58,control,0,92.82
59,control,0,122.09
60,control,0,103.22
61,control,0,138.58
62,control,0,87.09
63,control,0,61.01
64,control,0,123.55
65,control,0,133.78
66,control,0,216.99
67,control,0,153.98
68,control,0,79.7
69,control,1,106.1
70,control,0,192.81
71,control,0,124.57
72,control,0,84.41
73,control,0,154.94
74,control,0,102.61
75,control,0,178.69
76,control,0,171.78
77,control,0,81.16
78,control,0,257.1
79,control,0,142.62
80,control,0,-9.83
81,control,0,172.83
82,control,0,-5.9
83,control,0,212.39
84,control,0,153.42
85,control,0,141.23
86,control,0,144.92
87,control,0,180.1
88,control,0,116.09
89,control,0,144.31
90,control,0,152.0
91,control,0,-27.96
92,control,0,180.56
93,control,0,190.69
94,control,0,172.05
95,control,0,167.8
96,control,0,240.69
97,control,0,142.26
98,control,0,144.32
99,control,0,105.77
100,control,0,30.08
101,control,0,172.38
102,control,0,112.25
103,control,0,29.42
104,control,1,140.39
105,control,0,138.71
106,control,0,131.09
107,control,0,153.04
108,control,0,51.24
109,control,0,204.43
110,control,0,170.91
111,control,0,219.47
112,control,1,111.62
113,control,0,170.71
114,control,0,32.78
115,control,0,94.9
116,control,0,62.57
117,control,0,160.49
118,control,0,78.63
119,control,0,118.66
120,control,0,144.66
121,control,0,120.45
